category,type,page
Налоговые доходы,доходов,01_tax
Неналоговые доходы,доходов,02_non_tax
Безвозмездные поступления,доходов,03_gratuitous
Общегосударственные вопросы,расходов,05_national
"Культура, кинематография",расходов,06_culture
Социальная политика,расходов,07_social
Средства массовой информации,расходов,08_mass_media
Национальная экономика,расходов,09_ethnic
Жилищно-коммунальное хозяйство,расходов,10_housing
Образование,расходов,11_education
Национальная безопасность и правоохранительная деятельность,расходов,12_security
Физическая культура и спорт,расходов,13_sport
Национальная оборона,расходов,14_defence
Охрана окружающей среды,расходов,15_environment
